Camera,Parameter,Statistic,File1_Value,File2_Value,Difference,File1,File2
CAM_BACK_LEFT,z,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,z,Min,-1.575866460800171,143.238525390625,144.81439185142517,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,z,Max,-1.575866460800171,143.238525390625,144.81439185142517,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,z,Median,-1.575866460800171,143.238525390625,144.81439185142517,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,pitch,Mean,-0.3244567617797338,1.2465193275905146,1.5709760893702485,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,pitch,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,pitch,Min,-0.3244567617797338,1.2465193275905146,1.5709760893702485,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,pitch,Max,-0.3244567617797338,1.2465193275905146,1.5709760893702485,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,pitch,Median,-0.3244567617797338,1.2465193275905146,1.5709760893702485,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,yaw,Mean,1.5707963682256123,1.5707963407224168,-2.750319549882363e-08,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,yaw,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,yaw,Min,1.5707963682256123,1.5707963407224168,-2.750319549882363e-08,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,yaw,Max,1.5707963682256123,1.5707963407224168,-2.750319549882363e-08,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,yaw,Median,1.5707963682256123,1.5707963407224168,-2.750319549882363e-08,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,fov,Mean,70.0,90.0,20.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,fov,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,fov,Min,70.0,90.0,20.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,fov,Max,70.0,90.0,20.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,fov,Median,70.0,90.0,20.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,roll,Mean,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,roll,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,roll,Min,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,roll,Max,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_LEFT,roll,Median,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_RIGHT,x,Mean,0.1390593945980072,-1.772087574005127,-1.9111469686031342,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_RIGHT,x,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_RIGHT,x,Min,0.1390593945980072,-1.772087574005127,-1.9111469686031342,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_RIGHT,x,Max,0.1390593945980072,-1.772087574005127,-1.9111469686031342,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_RIGHT,x,Median,0.1390593945980072,-1.772087574005127,-1.9111469686031342,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_RIGHT,y,Mean,0.4730274677276611,-7.997201442718506,-8.470228910446167,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_RIGHT,y,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_RIGHT,y,Min,0.4730274677276611,-7.997201442718506,-8.470228910446167,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_RIGHT,y,Max,0.4730274677276611,-7.997201442718506,-8.470228910446167,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_RIGHT,y,Median,0.4730274677276611,-7.997201442718506,-8.470228910446167,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_RIGHT,z,Mean,-1.5566498041152954,143.24945068359375,144.80610048770905,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
CAM_BACK_RIGHT,z,Std_Dev,0.0,0.0,0.0,transforms_ego_adjusted_fov,carla_camera_parameters_statistics
